Movie_ID,Avg_Rating,Watch_Count,Min_Date,Max_Date,Date_Diff,Std_Dev,Year,Year_Diff,Quantile_1_Freq,Quantile_2_Freq,Quantile_3_Freq,Quantile_4_Freq,Quantile_5_Freq,CI_Lower_95,CI_Upper_95,Movie_Title
11662,4.534334458014541,21043,2004-12-22,2005-12-31,374,0.7759680297167535,2004,0,96038,96222,95853,96040,96036,4.523849997891272,4.5448189181378105,The Sopranos: Season 5
4238,4.554434413170473,1883,2003-09-12,2005-12-31,841,0.8282891707601436,2000,3,96038,96222,95853,96040,96036,4.517022243551369,4.591846582789576,Inu-Yasha
12834,4.527519289221416,21385,2003-09-12,2005-12-31,841,0.9070136290402364,2001,2,96038,96222,95853,96040,96036,4.515362601605551,4.539675976837282,Family Guy: Vol. 2: Season 3
16587,4.523488839406941,18413,2004-05-21,2005-12-31,589,0.8329089356447879,1992,12,96038,96222,95853,96040,96036,4.511458127804677,4.535519551009204,The Simpsons: Season 4
15296,4.513328357413233,37514,2002-11-30,2005-12-31,1127,0.8036158359471716,2001,1,96038,96222,95853,96040,96036,4.5051961607899225,4.521460554036543,Band of Brothers
10042,4.504035123337732,118212,2001-03-02,2005-12-31,1765,0.7135352916393252,1981,20,96038,96222,95853,96040,96036,4.499967499843681,4.508102746831783,Raiders of the Lost Ark
12293,4.504490863092159,106327,2001-03-04,2005-12-31,1763,0.7887343599296157,1972,29,96038,96222,95853,96040,96036,4.499749916622722,4.509231809561596,The Godfather
16265,4.504097013523666,85184,2001-03-02,2005-12-31,1765,0.8052468297702321,1977,24,96038,96222,95853,96040,96036,4.498689394585626,4.509504632461707,Star Wars: Episode IV: A New Hope
3444,4.516006781689439,10027,2004-11-06,2005-12-31,420,0.8864395500858464,2004,0,96038,96222,95853,96040,96036,4.498655974308107,4.533357589070771,Family Guy: Freakin' Sweet Collection
7664,4.512657568496718,9599,2005-07-17,2005-12-31,167,0.7491199327359971,2000,5,96038,96222,95853,96040,96036,4.497671268277219,4.5276438687162175,Gladiator: Extended Edition
3033,4.586363636363636,220,2005-08-10,2005-12-31,143,0.7257780926478412,2005,0,96038,96222,95853,96040,96036,4.490457016276202,4.68227025645107,Ghost in the Shell: Stand Alone Complex: 2nd Gig
17219,4.501836249729963,9258,2004-08-09,2005-12-31,509,0.8745726148791865,1991,13,96038,96222,95853,96040,96036,4.484020940810146,4.519651558649779,Seinfeld: Season 3
17307,4.497025056565826,11933,2004-09-28,2005-12-31,459,0.8566918452156967,2003,1,96038,96222,95853,96040,96036,4.481653923438457,4.512396189693194,CSI: Season 4
13504,4.522613065326633,1592,2005-04-19,2005-12-31,256,0.8601762385189059,2004,1,96038,96222,95853,96040,96036,4.480358661252861,4.564867469400404,House
16302,4.484303775694504,23254,2003-07-10,2005-12-31,905,0.9374211847058436,1999,4,96038,96222,95853,96040,96036,4.472255025475511,4.496352525913497,Family Guy: Vol. 1: Seasons 1-2
17085,4.48234947616443,23767,2003-09-12,2005-12-31,841,0.8905977879942578,2002,1,96038,96222,95853,96040,96036,4.4710267631351055,4.493672189193754,24: Season 2
5018,4.538913362701909,681,2005-02-07,2005-12-27,323,0.9261072831135072,2001,4,96038,96222,95853,96040,96036,4.469355886632998,4.60847083877082,Fruits Basket
