Movie_ID,Avg_Rating,Watch_Count,Min_Date,Max_Date,Date_Diff,Year,Year_Diff,Quantile_1_Freq,Quantile_2_Freq,Quantile_3_Freq,Quantile_4_Freq,Quantile_5_Freq
47,3.266382978723404,2350,2001-11-14,2005-12-29,1506,1952,49,898.0,580.0,414.0,289.0,169.0
48,3.7109440267335,3591,2002-03-14,2005-12-31,1388,2001,1,961.0,793.0,695.0,592.0,550.0
49,3.6666666666666665,231,2003-11-19,2005-12-28,770,2003,0,70.0,47.0,45.0,52.0,17.0
50,3.027439024390244,328,2001-03-21,2005-12-28,1743,1941,60,124.0,65.0,67.0,34.0,38.0
51,3.566666666666667,90,2003-01-15,2005-08-06,934,2002,1,25.0,17.0,21.0,10.0,17.0
52,3.757140081600933,5147,2003-08-06,2005-12-31,878,2002,1,1228.0,1276.0,1119.0,948.0,576.0
53,1.6754385964912282,114,2004-08-20,2005-11-07,444,2003,1,55.0,20.0,15.0,9.0,15.0
54,2.9874213836477987,159,2004-04-09,2005-12-28,628,1952,52,64.0,34.0,22.0,19.0,20.0
55,3.024522028262677,2406,1999-12-09,2005-12-31,2214,1995,4,878.0,524.0,390.0,316.0,298.0
56,3.648663393344244,1833,2004-02-09,2005-12-30,690,2004,0,584.0,468.0,326.0,285.0,170.0
57,3.678551375631668,3562,2000-03-08,2005-12-30,2123,1995,5,1096.0,948.0,729.0,522.0,267.0
58,3.612008043665613,17405,2002-02-05,2005-12-29,1423,1996,6,3939.0,4059.0,3547.0,3050.0,2810.0
59,2.7892156862745097,204,2004-07-23,2005-12-22,517,2003,1,77.0,46.0,37.0,24.0,20.0
60,2.149152542372881,295,2002-05-27,2005-12-30,1313,1969,33,132.0,81.0,33.0,32.0,17.0
61,2.952380952380953,147,2000-02-18,2005-11-22,2104,1999,1,67.0,34.0,20.0,11.0,15.0
62,3.6241379310344826,290,2003-06-13,2005-12-30,931,1991,12,94.0,67.0,48.0,46.0,35.0
63,3.25,184,2004-05-14,2005-12-28,593,1943,61,73.0,39.0,21.0,22.0,29.0
64,2.421052631578948,95,2002-06-20,2005-12-18,1277,2001,1,43.0,19.0,14.0,3.0,16.0
65,2.3294573643410854,258,2004-12-31,2005-12-26,360,2000,4,130.0,54.0,38.0,21.0,15.0
66,2.2951807228915664,166,2001-12-29,2005-12-27,1459,1989,12,71.0,34.0,27.0,14.0,20.0
67,2.557093425605536,289,2000-01-30,2005-12-14,2145,1997,3,113.0,59.0,44.0,38.0,35.0
68,4.14259927797834,2216,2004-04-27,2005-12-31,613,2004,0,450.0,414.0,443.0,452.0,457.0
69,3.293103448275862,116,2005-02-22,2005-12-20,301,2003,2,39.0,17.0,10.0,16.0,34.0
70,2.7317784256559765,343,2001-04-28,2005-12-20,1697,1999,2,75.0,78.0,60.0,60.0,70.0
71,3.770019218449712,1561,2003-05-04,2005-12-30,971,1995,8,458.0,368.0,340.0,264.0,131.0
72,3.1452513966480447,179,2002-06-20,2005-12-22,1281,1974,28,72.0,35.0,23.0,27.0,22.0
73,3.891566265060241,747,2004-08-28,2005-12-28,487,1954,50,154.0,157.0,143.0,138.0,155.0
74,3.185567010309278,388,2004-12-31,2005-12-27,361,1999,5,142.0,89.0,71.0,48.0,38.0
75,2.5707762557077625,219,2001-02-24,2005-12-18,1758,1997,4,83.0,53.0,38.0,31.0,14.0
76,4.090385917400136,2954,2004-02-13,2005-12-31,687,1952,52,735.0,642.0,575.0,492.0,510.0
77,2.852772466539197,13598,1999-12-21,2005-12-30,2201,1995,4,3680.0,3152.0,2683.0,2064.0,2019.0
78,2.9416494845360823,4850,2000-01-05,2005-12-30,2186,1996,4,1696.0,1133.0,845.0,593.0,583.0
79,3.765381218722402,3397,2000-01-05,2005-12-31,2187,1956,44,1025.0,890.0,656.0,507.0,319.0
80,2.7992700729927007,274,2003-03-15,2005-12-29,1020,1979,24,118.0,67.0,48.0,22.0,19.0
81,3.4395516413130505,1249,1999-12-27,2005-12-31,2196,1991,8,421.0,278.0,224.0,185.0,141.0
82,3.042016806722689,119,2005-04-09,2005-12-28,263,1951,54,52.0,18.0,17.0,20.0,12.0
83,3.729331339457381,18724,2000-01-05,2005-12-31,2187,1983,17,4407.0,4755.0,4203.0,3356.0,2003.0
84,3.2212936046511627,2752,2002-06-29,2005-12-29,1279,2002,0,805.0,638.0,559.0,409.0,341.0
85,4.2518796992481205,266,2005-05-14,2005-12-31,231,2005,0,48.0,46.0,44.0,58.0,70.0
86,1.9545454545454544,176,2000-02-17,2005-12-27,2140,1996,4,56.0,31.0,36.0,24.0,29.0
87,2.811965811965812,117,2003-01-13,2005-12-18,1070,2002,1,33.0,33.0,16.0,16.0,19.0
88,3.835378323108384,978,2003-07-21,2005-12-30,893,1998,5,195.0,178.0,158.0,209.0,238.0
89,2.6913439635535306,878,2001-05-15,2005-12-27,1687,2000,1,382.0,208.0,120.0,90.0,78.0
90,3.496,625,2001-01-16,2005-12-27,1806,1951,50,182.0,141.0,116.0,104.0,82.0
91,3.895943562610229,567,2005-02-14,2005-12-30,319,2005,0,124.0,92.0,86.0,106.0,159.0
92,3.565217391304348,161,2004-08-12,2005-12-26,501,2002,2,41.0,25.0,17.0,34.0,44.0
93,2.689655172413793,174,2005-06-10,2005-12-31,204,2004,1,58.0,38.0,34.0,24.0,20.0
94,3.684210526315789,342,2000-05-26,2005-12-28,2042,2000,0,92.0,83.0,74.0,55.0,38.0
95,2.5828877005347595,935,2002-03-26,2005-12-27,1372,1985,17,337.0,218.0,190.0,115.0,75.0
96,3.3688524590163933,488,2001-01-04,2005-12-29,1820,2000,1,148.0,124.0,88.0,79.0,49.0
97,3.87182829336114,11508,2002-11-15,2005-12-31,1142,2002,0,3113.0,3038.0,2509.0,1912.0,936.0
98,3.9153846153846152,130,2004-10-15,2005-12-14,425,1965,39,28.0,30.0,28.0,21.0,23.0
99,2.4206349206349205,126,2001-10-10,2005-10-13,1464,1989,12,59.0,27.0,19.0,10.0,11.0
100,2.6538461538461537,78,2001-07-28,2005-12-22,1608,1993,8,38.0,19.0,5.0,9.0,7.0
101,3.372727272727273,330,2001-06-29,2005-12-13,1628,1997,4,87.0,56.0,49.0,67.0,71.0
102,2.7363636363636363,330,2004-11-22,2005-12-28,401,2004,0,124.0,84.0,51.0,40.0,31.0
103,3.6555023923444976,209,2005-05-12,2005-12-31,233,1976,29,75.0,32.0,26.0,35.0,41.0
104,3.6977142857142855,3500,2001-03-21,2005-12-31,1746,1965,36,911.0,829.0,682.0,634.0,444.0
105,3.130208333333333,192,2004-08-28,2005-12-28,487,2002,2,78.0,37.0,30.0,23.0,24.0
106,4.097872340425532,940,2004-09-03,2005-12-30,483,2004,0,208.0,227.0,193.0,168.0,144.0
107,3.352231604342581,829,2001-03-21,2005-12-03,1718,2000,1,316.0,194.0,155.0,106.0,58.0
108,3.167315175097276,19018,2004-01-26,2005-12-31,705,2004,0,6399.0,4900.0,3657.0,2535.0,1527.0
109,2.677064220183486,545,2000-12-21,2005-12-27,1832,1996,4,246.0,132.0,86.0,41.0,40.0
110,3.033811949976841,2159,2000-09-09,2005-12-29,1937,1989,11,828.0,558.0,378.0,251.0,144.0
111,3.08288246423474,30127,2003-09-01,2005-12-31,852,2003,0,7706.0,7171.0,6221.0,5087.0,3942.0
112,3.00418410041841,239,2003-01-15,2005-12-26,1076,1993,10,101.0,58.0,34.0,25.0,21.0
113,3.8851399856424975,1393,2002-03-23,2005-12-30,1378,2000,2,347.0,298.0,292.0,234.0,222.0
114,3.366822429906542,428,2000-01-08,2005-12-29,2182,1989,11,117.0,97.0,77.0,68.0,69.0
115,3.539039039039039,666,2003-09-12,2005-12-28,838,1973,30,171.0,155.0,131.0,112.0,97.0
116,3.539076376554174,1126,2004-10-13,2005-12-31,444,2004,0,384.0,265.0,215.0,165.0,97.0
117,3.46177370030581,981,2003-04-01,2005-12-30,1004,1957,46,280.0,243.0,205.0,150.0,103.0
118,3.432952182952183,19240,2000-01-05,2005-12-31,2187,1985,15,4267.0,4277.0,3905.0,3559.0,3232.0
119,2.6979166666666665,96,2000-01-07,2005-12-20,2174,1999,1,30.0,21.0,22.0,7.0,16.0
120,2.424778761061947,339,2004-04-23,2005-12-27,613,2004,0,141.0,72.0,48.0,46.0,32.0
121,3.616161616161616,99,2005-03-09,2005-12-31,297,2003,2,26.0,15.0,14.0,21.0,23.0
122,2.911886457717327,3382,2003-03-23,2005-12-30,1013,2002,1,985.0,802.0,632.0,537.0,426.0
123,2.833333333333333,276,2004-12-22,2005-12-30,373,2000,4,107.0,61.0,50.0,27.0,31.0
124,2.266272189349112,169,2000-11-24,2005-12-19,1851,2000,0,87.0,43.0,18.0,13.0,8.0
125,3.3707345286292654,1729,2004-04-23,2005-12-31,617,1981,23,545.0,391.0,341.0,251.0,201.0
126,3.201858108108108,1184,2004-02-26,2005-12-28,671,2003,1,360.0,261.0,180.0,183.0,200.0
127,2.630391506303915,3014,2001-01-12,2005-12-23,1806,1987,14,1171.0,685.0,499.0,375.0,284.0
128,3.2158273381294964,417,2000-01-17,2005-12-28,2172,1985,15,187.0,70.0,62.0,49.0,49.0
129,2.1481481481481484,756,2003-03-15,2005-12-26,1017,2003,0,303.0,160.0,127.0,97.0,69.0
130,2.232558139534884,86,2000-11-17,2005-12-18,1857,1999,1,44.0,17.0,9.0,10.0,6.0
131,2.695035460992908,705,2002-03-12,2005-12-30,1389,2002,0,261.0,141.0,107.0,93.0,103.0
132,3.0746987951807228,830,2002-07-31,2005-12-21,1239,1981,21,297.0,179.0,144.0,120.0,90.0
133,3.737807257120562,2563,2004-10-20,2005-12-29,435,2003,1,557.0,478.0,419.0,494.0,615.0
134,2.1313131313131315,99,2002-05-16,2005-11-10,1274,1996,6,47.0,22.0,9.0,7.0,14.0
135,4.138020833333333,384,2004-10-07,2005-12-28,447,1998,6,82.0,55.0,68.0,77.0,102.0
136,2.975,120,2000-01-16,2005-12-31,2176,1927,73,53.0,33.0,11.0,13.0,10.0
137,2.392156862745098,204,2003-04-29,2005-12-16,962,1998,5,97.0,36.0,30.0,20.0,21.0
138,3.9422340602630266,6007,2004-01-29,2005-12-31,702,1995,9,1208.0,1301.0,1173.0,1119.0,1206.0
139,2.5104166666666665,96,2002-03-30,2005-12-20,1361,2001,1,35.0,11.0,17.0,19.0,14.0
140,2.5294117647058822,119,2005-06-10,2005-12-18,191,1993,12,52.0,22.0,13.0,13.0,19.0
141,2.9761904761904763,126,2004-08-07,2005-12-23,503,2004,0,55.0,23.0,20.0,13.0,15.0
142,2.8098159509202456,326,2001-05-03,2005-12-29,1701,2000,1,110.0,78.0,54.0,47.0,37.0
143,3.853031645899588,38362,2000-01-05,2005-12-31,2187,1997,3,8991.0,9648.0,8303.0,6858.0,4562.0
144,3.2006920415224918,289,2000-11-26,2005-12-29,1859,2000,0,69.0,62.0,59.0,50.0,49.0
145,3.074725274725275,455,2003-05-04,2005-12-27,968,1978,25,178.0,111.0,66.0,58.0,42.0
146,2.420765027322404,366,2000-01-08,2005-12-29,2182,1988,12,138.0,95.0,57.0,47.0,29.0
147,2.16793893129771,131,2002-11-27,2005-12-19,1118,1992,10,64.0,28.0,22.0,9.0,8.0
148,3.304947283049473,22194,2001-02-18,2005-12-31,1777,2001,0,5246.0,5342.0,4581.0,3903.0,3122.0
149,3.0161290322580645,62,2005-05-20,2005-12-29,223,2005,0,32.0,9.0,5.0,7.0,9.0
150,2.883018867924528,265,2002-02-11,2005-12-28,1416,2001,1,111.0,45.0,47.0,35.0,27.0
151,1.9545454545454544,176,2005-06-10,2005-12-20,193,2005,0,71.0,28.0,29.0,22.0,26.0
152,3.9340755293604017,9162,2000-07-17,2005-12-31,1993,1995,5,2010.0,2129.0,1928.0,1699.0,1396.0
153,2.747663551401869,321,2002-11-22,2005-12-26,1130,2002,0,89.0,80.0,49.0,56.0,47.0
154,2.9430379746835444,158,2001-05-05,2005-12-20,1690,2000,1,49.0,22.0,19.0,35.0,33.0
155,3.596938775510204,980,2004-04-21,2005-12-28,616,1975,29,253.0,203.0,181.0,166.0,177.0
156,3.495170558748013,8179,2001-03-05,2005-12-31,1762,1992,9,2316.0,2211.0,1712.0,1253.0,687.0
157,3.37872340425532,705,2003-01-09,2005-12-30,1086,2004,-1,193.0,175.0,137.0,119.0,81.0
158,2.657754010695187,374,2005-04-08,2005-12-22,258,2004,1,147.0,86.0,50.0,53.0,38.0
159,3.932926829268293,164,2003-02-13,2005-11-23,1014,1971,32,39.0,40.0,30.0,33.0,22.0
160,3.007786429365962,899,2003-09-12,2005-12-28,838,2000,3,302.0,203.0,213.0,114.0,67.0
161,3.853620955315871,649,2005-07-12,2005-12-31,172,1939,66,191.0,154.0,144.0,99.0,61.0
162,2.959915611814346,474,2004-01-16,2005-12-31,715,1968,36,162.0,101.0,91.0,58.0,62.0
163,2.378238341968912,193,2003-11-30,2005-12-26,757,2002,1,84.0,23.0,32.0,13.0,41.0
164,2.6273006134969323,652,2005-08-01,2005-12-28,149,2003,2,189.0,180.0,111.0,81.0,91.0
165,3.9169572798605055,4588,2000-02-12,2005-12-31,2149,1982,18,1130.0,1032.0,909.0,823.0,694.0
166,3.556332803391627,9435,2001-03-02,2005-12-31,1765,1980,21,2352.0,2429.0,1999.0,1607.0,1048.0
167,4.0922303573379954,9151,2004-12-05,2005-12-31,391,2004,0,2419.0,2278.0,1979.0,1568.0,907.0
168,3.242424242424242,1353,2004-06-23,2005-12-31,556,1983,21,260.0,194.0,233.0,238.0,428.0
169,3.388059701492537,335,2004-07-30,2005-12-19,507,2004,0,86.0,56.0,60.0,48.0,85.0
170,3.181395348837209,215,2004-04-23,2005-12-19,605,1972,32,87.0,39.0,35.0,30.0,24.0
171,3.74248788368336,6190,2001-03-21,2005-12-31,1746,1957,44,1468.0,1511.0,1369.0,1136.0,706.0
172,3.127329192546584,322,2004-11-26,2005-12-28,397,2003,1,136.0,62.0,50.0,29.0,45.0
173,3.538908765652952,2236,2002-04-22,2005-12-28,1346,1968,34,736.0,519.0,419.0,309.0,253.0
174,3.319371727748691,191,2005-07-12,2005-12-25,166,1968,37,84.0,38.0,28.0,21.0,20.0
175,4.003847429519071,90450,1999-12-30,2005-12-31,2193,1992,7,17309.0,21154.0,20559.0,18323.0,13105.0
176,3.2666666666666666,210,2004-05-14,2005-12-29,594,2004,0,62.0,40.0,42.0,29.0,37.0
177,2.680497925311203,241,2002-11-13,2005-12-28,1141,2002,0,119.0,50.0,29.0,22.0,21.0
178,3.372863801139306,1931,2003-08-26,2005-12-30,857,1996,7,688.0,434.0,366.0,281.0,162.0
179,2.458041958041958,286,2004-06-16,2005-12-20,552,2003,1,100.0,68.0,46.0,41.0,31.0
180,3.833746898263027,2418,2002-09-20,2005-12-30,1197,2002,0,593.0,589.0,551.0,420.0,265.0
181,2.6000562113546937,3558,2004-09-27,2005-12-31,460,2004,0,1422.0,928.0,595.0,371.0,242.0
182,3.0811965811965814,234,2001-08-29,2005-12-27,1581,2001,0,97.0,47.0,40.0,32.0,18.0
183,3.0122699386503067,163,2005-03-25,2005-12-28,278,2005,0,45.0,39.0,37.0,28.0,14.0
184,3.338345864661654,399,2004-10-07,2005-12-29,448,2004,0,75.0,76.0,82.0,83.0,83.0
185,3.057466260339573,2297,2002-10-01,2005-12-31,1187,1985,17,744.0,496.0,390.0,319.0,348.0
186,3.3780068728522337,291,2005-02-07,2005-12-28,324,1950,55,113.0,84.0,44.0,28.0,22.0
187,3.012170183051524,20049,2002-03-05,2005-12-31,1397,2002,0,5462.0,5159.0,4199.0,3194.0,2035.0
188,2.761867398979992,2549,2005-02-11,2005-12-29,321,2005,0,847.0,565.0,456.0,389.0,292.0
189,3.346466718540001,14137,2000-09-10,2005-12-30,1937,1982,18,3453.0,3461.0,3073.0,2437.0,1713.0
190,2.0961538461538463,104,2000-06-19,2005-12-27,2017,1989,11,54.0,21.0,8.0,9.0,12.0
191,3.932202188006483,98720,2003-04-18,2005-12-31,988,2003,0,19068.0,22282.0,21410.0,19627.0,16333.0
192,3.2,275,2004-04-18,2005-12-28,619,2003,1,75.0,31.0,39.0,64.0,66.0
193,2.975206611570248,121,2004-12-25,2005-12-14,354,2005,-1,26.0,19.0,22.0,25.0,29.0
194,3.134674922600619,646,2003-09-12,2005-12-30,840,1996,7,270.0,156.0,87.0,78.0,55.0
195,3.2972972972972974,185,2005-08-20,2005-12-31,133,2004,1,67.0,42.0,29.0,27.0,20.0
196,3.467532467532468,154,2002-09-05,2005-12-20,1202,1992,10,45.0,27.0,29.0,27.0,26.0
197,3.478931823775535,81260,2004-02-13,2005-12-31,687,2004,0,18231.0,18552.0,16785.0,15203.0,12489.0
198,3.082474226804124,194,2000-01-10,2005-12-22,2173,1997,3,79.0,35.0,31.0,25.0,24.0
199,3.8931820101945984,35509,1999-12-31,2005-12-31,2192,1978,21,8879.0,9235.0,7862.0,5890.0,3643.0
200,3.007751937984496,129,2001-03-10,2005-12-28,1754,1964,37,51.0,34.0,14.0,18.0,12.0
201,3.4174008810572687,2724,2003-08-12,2005-12-31,872,2001,2,803.0,689.0,590.0,429.0,213.0
202,3.1047120418848166,382,2002-09-11,2005-12-29,1205,2001,1,160.0,79.0,56.0,53.0,34.0
203,3.15625,96,2000-12-04,2005-12-30,1852,1997,3,37.0,20.0,12.0,10.0,17.0
204,2.708695652173913,230,2004-02-09,2005-12-27,687,2002,2,67.0,50.0,39.0,36.0,38.0
205,3.3021442495126707,513,2004-11-12,2005-12-28,411,2004,0,99.0,112.0,103.0,88.0,111.0
206,3.858576642335767,1096,2004-11-19,2005-12-30,406,2004,0,258.0,288.0,213.0,199.0,138.0
207,2.86046511627907,258,2002-12-11,2005-12-20,1105,2001,1,69.0,62.0,43.0,37.0,47.0
208,3.3588342440801457,2196,2000-01-10,2005-12-31,2182,1947,53,764.0,476.0,364.0,313.0,279.0
209,4.160759204207638,4373,2003-09-12,2005-12-30,840,1996,7,816.0,928.0,888.0,869.0,872.0
210,3.151382823871907,687,2003-08-05,2005-12-31,879,2001,2,226.0,152.0,118.0,108.0,83.0
211,3.555045871559633,654,2004-04-13,2005-12-30,626,2004,0,200.0,160.0,130.0,109.0,55.0
212,2.7786516853932586,890,2001-07-02,2005-12-30,1642,1982,19,322.0,218.0,150.0,126.0,74.0
213,3.470993681792073,3482,2002-12-27,2005-12-29,1098,2001,1,1397.0,939.0,635.0,347.0,164.0
214,2.919354838709677,124,2003-02-21,2005-12-20,1033,2002,1,45.0,20.0,19.0,15.0,25.0
215,4.062575210589651,5817,2004-07-30,2005-12-31,519,1998,6,1271.0,1269.0,1196.0,1084.0,997.0
216,3.218212478920742,8895,2001-11-15,2005-12-31,1507,2000,1,2959.0,2234.0,1638.0,1205.0,859.0
217,2.9529411764705884,425,2005-03-04,2005-12-30,301,1988,17,168.0,101.0,60.0,54.0,42.0
218,3.226086956521739,115,2003-12-16,2005-12-02,717,1983,20,42.0,23.0,16.0,21.0,13.0
219,2.603603603603604,111,2000-01-11,2005-12-29,2179,1995,5,55.0,18.0,18.0,9.0,11.0
220,3.257918552036199,221,2003-09-19,2005-12-22,825,1983,20,94.0,41.0,31.0,27.0,28.0
221,3.4347826086956523,161,2005-05-13,2005-12-31,232,2005,0,38.0,34.0,36.0,25.0,28.0
222,2.606060606060606,99,2001-01-29,2005-11-10,1746,1998,3,44.0,20.0,16.0,6.0,13.0
223,4.21119170984456,24125,2004-01-22,2005-12-31,709,2003,1,4461.0,5126.0,5074.0,5061.0,4403.0
224,3.8314917127071824,1086,2003-05-07,2005-12-28,966,1999,4,274.0,239.0,223.0,190.0,160.0
225,2.733739012846518,7395,2004-07-22,2005-12-31,527,2004,0,1908.0,1558.0,1300.0,1245.0,1384.0
226,2.4444444444444446,189,2000-01-24,2005-12-16,2153,1996,4,87.0,39.0,29.0,23.0,11.0
227,3.417293233082707,1330,2002-10-04,2005-12-30,1183,2001,1,412.0,297.0,254.0,188.0,179.0
228,2.831578947368421,95,2004-04-24,2005-12-26,611,1979,25,36.0,20.0,19.0,11.0,9.0
229,3.831288343558282,652,2003-10-29,2005-12-29,792,2003,0,189.0,148.0,144.0,83.0,88.0
230,3.095238095238096,126,2005-01-19,2005-12-28,343,1987,18,68.0,18.0,9.0,9.0,22.0
231,2.942708333333333,768,2003-05-16,2005-12-27,956,2002,1,260.0,207.0,144.0,95.0,62.0
232,3.182676848874598,4976,2002-07-18,2005-12-31,1262,1989,13,1654.0,1175.0,896.0,748.0,503.0
233,3.2416267942583734,418,2001-10-04,2005-12-28,1546,1971,30,162.0,82.0,65.0,52.0,57.0
234,2.9690721649484537,97,2000-01-25,2005-12-20,2156,1921,79,38.0,23.0,11.0,14.0,11.0
235,3.024886877828054,442,2003-11-01,2005-12-31,791,1996,7,212.0,107.0,61.0,33.0,29.0
236,2.32,125,2000-02-20,2005-12-20,2130,1998,2,47.0,25.0,19.0,17.0,17.0
237,3.3994252873563218,348,2000-01-17,2005-12-29,2173,1918,82,114.0,84.0,68.0,46.0,36.0
238,3.678372591006424,2335,2000-01-10,2005-12-31,2182,1976,24,683.0,544.0,425.0,375.0,308.0
239,3.768036529680365,2190,2004-02-13,2005-12-31,687,2004,0,398.0,431.0,467.0,429.0,465.0
240,3.94849537037037,5184,2003-09-20,2005-12-31,833,1942,61,1205.0,1305.0,1139.0,933.0,602.0
241,4.157900839478688,43122,2000-04-23,2005-12-31,2078,1959,41,9330.0,10837.0,9817.0,8119.0,5019.0
242,3.911157894736842,2375,2002-09-24,2005-12-31,1194,1995,7,428.0,448.0,440.0,492.0,567.0
243,3.0252100840336134,119,2004-01-09,2005-12-24,715,1962,42,56.0,17.0,15.0,12.0,19.0
244,3.8666666666666663,105,2004-09-23,2005-12-31,464,2004,0,30.0,13.0,13.0,25.0,24.0
245,2.78021978021978,91,2002-03-19,2005-12-08,1360,2002,0,41.0,17.0,10.0,11.0,12.0
246,3.1160092807424595,431,2004-08-27,2005-12-31,491,1968,36,198.0,83.0,73.0,45.0,32.0
247,3.032159264931088,653,2003-09-01,2005-12-29,850,1994,9,235.0,159.0,130.0,83.0,46.0
248,3.633338743710437,6161,2003-07-20,2005-12-31,895,2001,2,1544.0,1442.0,1290.0,1144.0,741.0
249,3.182741116751269,197,2004-05-14,2005-12-28,593,1958,46,87.0,36.0,29.0,22.0,23.0
250,3.4385510996119018,773,2002-01-31,2005-12-30,1429,1966,36,280.0,178.0,121.0,105.0,89.0
251,3.8803986710963456,1204,2003-05-07,2005-12-27,965,2000,3,310.0,267.0,250.0,204.0,173.0
